,0,1,2,3,4
0,2018-05-12,NOME家居,A+轮,1.8亿人民币,红杉资本中国 今日资本
1,2018-05-12,虾比特,天使轮,未透露,未透露
2,2018-05-11,虎牙直播,IPO上市,1.8亿美元,未透露
3,2018-05-11,威胁猎人,Pre-A轮,2500万人民币,泰岳梧桐资本
4,2018-05-11,换车网,A轮,数亿人民币,中骏资本
5,2018-05-11,卟一样的大学,天使轮,未透露,未透露
6,2018-05-11,衣本电商,Pre-A轮,数百万人民币,未透露
7,2018-05-11,我行我宿,A轮,1.5亿人民币,未透露
8,2018-05-11,优杯,天使轮,数百万人民币,伯乐遇马天使投资
9,2018-05-11,中装速配,天使轮,800万人民币,东方富海
10,2018-05-11,果小小,种子轮,数百万人民币,盛港投资
11,2018-05-11,星球日报,天使轮,3000万人民币,创大资本 星合资本 七熹投资
12,2018-05-11,京都龙泰,B轮,4000万人民币,未透露
13,2018-05-11,17度,种子轮,数百万人民币,未透露
14,2018-05-11,Wake唤醒之光,A+轮,数千万人民币,三七互娱
15,2018-05-11,云知声,C轮,1亿美元,奇虎360 汉富控股 前海梧桐并购基金 中电健康基金
16,2018-05-11,美味不用等,D轮,4亿人民币,阿里巴巴 携程
17,2018-05-10,长江绿海,新三板定增,782万人民币,未透露
18,2018-05-10,碰趣,种子轮,未透露,未透露
19,2018-05-10,喜马拉雅,E轮,数亿美元,未透露
0,2018-05-10,碧虎科技,B轮,数亿人民币,未透露
1,2018-05-10,校宝在线,C+轮,1亿人民币,蚂蚁金服(阿里巴巴) 歌斐资产 万融资本
2,2018-05-10,品志,Pre-A轮,数千万人民币,未透露
3,2018-05-10,万灵盘古,Pre-A轮,1500万人民币,金浦投资
4,2018-05-10,高仙机器人,A轮,数千万美元,蓝驰创投 七海资本
5,2018-05-10,星球食袋,天使轮,数百万人民币,未透露
6,2018-05-10,大道智创,A轮,数千万人民币,凯泰资本
7,2018-05-10,荷马金融,A+轮,3000万人民币,Venturous 汝林琪 谭秉忠
8,2018-05-10,粉笔盒,天使轮,200万人民币,未透露
9,2018-05-10,友咖啡,Pre-A轮,3500万人民币,高榕资本 汉能投资
10,2018-05-10,妙手快按,天使轮,数百万人民币,老鹰基金
11,2018-05-10,迈博斯生物,B轮,4000万美元,红杉资本中国 礼来亚洲基金
12,2018-05-10,千屿Islands,A+轮,数千万人民币,昆仲资本
13,2018-05-10,兴工微电子,A轮,1000万人民币,一村资本
14,2018-05-10,蓝晶生物BluePHA,Pre-A轮,1000万人民币,力合科创（力合创投） 峰瑞资本
15,2018-05-10,云融金科,A轮,8000万人民币,未透露
16,2018-05-10,火花思维,B轮,1500万美元,IDG资本 金沙江创投 光速中国 山行资本
17,2018-05-10,良晓科技,战略投资,3000万人民币,风语筑
18,2018-05-10,巴乐兔,C轮,3亿人民币,DCM中国 天图资本 众为资本
19,2018-05-10,纯米科技,C轮,未透露,Star VC 光控众盈新产业基金
0,2018-05-10,乐言科技,A+轮,未透露,云锋基金
1,2018-05-10,优客逸家,C轮,10亿人民币,经纬中国 君联资本 深创投 SIG海纳亚洲
2,2018-05-10,玩多多,B轮,1500万美元,IDG资本 金沙江创投 光速中国 山行资本
3,2018-05-10,KARADO,天使轮,1000万人民币,春晓资本
4,2018-05-10,千麦医学检验,B轮,数亿人民币,华泰紫金-华泰证券 康桥资本 汉富控股
5,2018-05-09,艾优云,战略投资,数千万人民币,未透露
6,2018-05-09,纸箱哥,A+轮,未透露,银江股份(银江资本)
7,2018-05-09,数字联盟,A+轮,2400万人民币,未透露
8,2018-05-09,Wegogo,Pre-A轮,600万人民币,未透露
9,2018-05-09,速迈医疗,C轮,未透露,中信资本
10,2018-05-09,相芯科技,A轮,1.2亿人民币,未透露
11,2018-05-09,力子机器人,Pre-A轮,数千万人民币,点亮资本
12,2018-05-09,睿科微电子,A轮,未透露,华登国际投资 华山资本WestSummit Capital 正和岛正和磁系资本 中投中财基金 清控银杏创投 合肥高投 兆易创新
13,2018-05-09,基石药业,B轮,2.6亿美元,红杉资本中国 云锋基金 中信产业基金 高瓴资本 GIC新加坡政府投资公司 Arch Venture Partners 通和毓承 元禾原点创投 博裕资本 3W Partners 泰康人寿
14,2018-05-09,橙光,C轮,数亿人民币,景林投资 国金投资 阿特列斯资本
15,2018-05-09,骑加,天使轮,400万人民币,和壹资本
16,2018-05-09,一订有车,Pre-A轮,1500万人民币,银河系创投
17,2018-05-09,星球研究所,A轮,未透露,未透露
18,2018-05-09,晴天助,A轮,5000万人民币,乐创会
19,2018-05-09,瑞为技术,B+轮,未透露,英特尔投资Intel Capital
0,2018-05-09,够近智慧社区,Pre-A轮,数百万人民币,未透露
1,2018-05-09,爱宠医生,战略投资,数千万人民币,未透露
2,2018-05-09,Alauda灵雀云,B+轮,未透露,英特尔投资Intel Capital 明照资本
3,2018-05-09,行云全球汇,A轮,3亿人民币,金沙江创投 钟鼎创投
4,2018-05-09,微医,F轮-上市前,5亿美元,中投中财基金 友邦保险
5,2018-05-09,世纪康瑞,C轮,未透露,中信资本
6,2018-05-09,别样,B轮,2000万美元,KPCB凯鹏华盈中国 宽带资本CBC 高瓴资本 微光创投
7,2018-05-09,乐鑫科技,战略投资,未透露,英特尔投资Intel Capital
8,2018-05-08,越博动力,IPO上市,未透露,未透露
9,2018-05-08,音智达,A轮,未透露,达晨创投 赛伯乐投资 歌斐资产
10,2018-05-08,工品汇,B+轮,2亿人民币,京东 雄牛资本 普华资本 云启资本 微光创投
11,2018-05-08,禧云国际,A轮,2亿美元,鼎晖投资 蚂蚁金服(阿里巴巴) 口碑网
12,2018-05-08,尚融生物,A轮,未透露,通和毓承
13,2018-05-08,作文纸条,天使轮,数百万美元,熊猫资本 微光创投 一号公路资本 正念资本
