,0,1,2,3,4
0,2018-05-10,庄胜百货,67%,未透露,新华联集团
1,2018-05-04,龙铁纵横,100%,6.1亿人民币,远望谷
2,2018-05-03,先声互联,100%,未透露,阿里巴巴
3,2018-04-20,中天微,100%,未透露,阿里巴巴
4,2018-04-20,乐鑫科技,未透露,50亿人民币,阿里巴巴
5,2018-04-12,网易达,70%,5.12亿人民币,英雄互娱
6,2018-04-08,艾瑞思机器人,100%,数千万人民币,耀途资本
7,2018-04-04,摩拜单车,100%,27亿美元,美团(新美大)
8,2018-04-04,迪亚中国,100%,未透露,苏宁
9,2018-04-03,车易拍,100%,未透露,365 Retail Markets
10,2018-04-03,乐动力,100%,未透露,阿里体育(阿里巴巴)
11,2018-04-03,蓝创智能,100%,4.7亿人民币,鲍斯股份怡诺投资
12,2018-04-02,饿了么,100%,95亿美元,阿里巴巴
13,2018-03-17,凌晨网络科技,未透露,未透露,腾讯
14,2018-03-16,华尔街英语,未透露,3亿美元,中信资本
0,2018-03-15,革新舍,未透露,未透露,e袋洗众创共享基金
1,2018-03-13,新邦物流,71%,17亿人民币,顺丰速运
2,2018-03-12,乐盟互动,51%,8.2亿人民币,凯瑞德
3,2018-03-08,致趣广告,40%,1.92亿人民币,引力传媒
4,2018-03-04,希奥,未透露,未透露,远望谷
5,2018-03-04,一拓通信,未透露,未透露,远望谷
6,2018-03-01,好小子机器人教育,未透露,未透露,达内科技
7,2018-02-27,维境视讯,未透露,未透露,今日头条
8,2018-02-23,金海保险,100%,未透露,汉富控股
9,2018-02-23,探探,100%,7.35亿美元,陌陌科技
10,2018-02-22,众诚天合,未透露,未透露,文化长城
11,2018-02-22,成功文化,未透露,未透露,文化长城
12,2018-02-18,Faceu,未透露,3亿美元,今日头条
13,2018-02-09,中兴软创,44%,12.23亿人民币,阿里巴巴
14,2018-02-07,半次元,未透露,未透露,今日头条
0,2018-02-05,中鸣数码,51%,1530万人民币,盛通股份
1,2018-02-04,元盛电子,未透露,未透露,中京电子
2,2018-02-03,G站,80%,15亿人民币,中文在线
3,2018-01-31,大鱼自助游,未透露,未透露,途家
