,0,1,2,3,4
0,2018-05-10,Velostrata,未透露,未透露,Google Ventures
1,2018-05-08,Daraz,100%,未透露,阿里巴巴
2,2018-05-07,SpaceTime Insight,未透露,未透露,Nokia growth partners(海外投资)
3,2018-05-04,Sirtex Medical,未透露,14亿美元,鼎晖投资
4,2018-05-02,Accompany,未透露,2.7亿美元,Cisco思科
5,2018-05-02,Birchbox,未透露,未透露,Viking Global Investors
6,2018-04-27,Weebly,未透露,3.65亿美元,Square
7,2018-04-26,Sky,61%,307亿人民币,Comcast Ventures
8,2018-04-25,Grapeshot,未透露,未透露,甲骨文Oracle
9,2018-04-20,Zesty.com,未透露,未透露,Square
10,2018-04-18,Trilogy International Limited,未透露,未透露,中信资本
11,2018-04-17,Sayspring,未透露,未透露,Adobe Systems
12,2018-04-16,Clarity Money,未透露,未透露,Goldman Sachs高盛(国外)
13,2018-04-13,Loudr,未透露,未透露,Spotify
14,2018-04-13,Secdo,未透露,1亿美元,Palo Alto Networks
0,2018-04-10,World Wide Packaging,未透露,未透露,贝恩资本BainCapital
1,2018-04-10,Jump Bikes,未透露,2亿美元,uber
2,2018-04-06,Accolade Wines,未透露,7.68亿美元,凯雷亚洲基金
3,2018-04-04,Forerunner Softw,未透露,未透露,微软Microsoft
4,2018-03-29,E8 Security,未透露,未透露,VMware
5,2018-03-28,Tenor,未透露,未透露,Google Ventures
6,2018-03-27,Cake Technologies,未透露,1330万美元,American Express美国运通
7,2018-03-27,Belkin International,未透露,8.66亿美元,富士康
8,2018-03-26,BitARG,40%,1900万美元,雅虎
9,2018-03-21,MuleSoft,未透露,65亿美元,Salesforce
10,2018-03-21,Aimsun,未透露,未透露,Siemens Venture Capital
11,2018-03-15,Evident.io,未透露,3亿美元,Palo Alto Networks
12,2018-03-13,Texture by Next Issue,未透露,未透露,Apple苹果
13,2018-03-13,CloudCraze,未透露,未透露,Salesforce
14,2018-03-08,Zenedge,未透露,未透露,甲骨文Oracle
0,2018-03-06,Kngine,100%,未透露,Samsung Ventures三星
1,2018-02-28,PhishMe,未透露,未透露,BlackRock
2,2018-02-28,Ring,未透露,10亿美元,Amazon亚马逊
3,2018-02-28,趣天网Qoo10,未透露,7亿美元,eBay
4,2018-02-28,Guide Investimentos,未透露,5200万美元,复星集团
5,2018-02-27,500px,100%,1700万美元,量科高投
6,2018-02-26,Unium,未透露,未透露,Nokia诺基亚
7,2018-02-22,Lanvin,未透露,未透露,复星集团
